2014-10-28 00:13:28,532 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:13:28,533 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:13:28,535 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:13:28,535 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:19:24,717 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.mongodb:M101J:1.0-SNAPSHOT @ /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/pom.xml.
2014-10-28 00:19:25,058 [Worker-11] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://www.sparkjava.com/nexus/content/repositories/spark/com/sparkjava/spark-core/1.1.1/spark-core-1.1.1.pom
2014-10-28 00:19:25,201 [Worker-11] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/com/sparkjava/spark-core/1.1.1/spark-core-1.1.1.pom
2014-10-28 00:19:25,310 [Worker-11] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/com/sparkjava/spark-core/1.1.1/spark-core-1.1.1.pom
2014-10-28 00:19:25,520 [Worker-11] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://www.sparkjava.com/nexus/content/repositories/spark/com/sparkjava/spark-core/1.1.1/spark-core-1.1.1.jar
2014-10-28 00:19:25,580 [Worker-11] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/com/sparkjava/spark-core/1.1.1/spark-core-1.1.1.jar
2014-10-28 00:19:25,781 [Worker-11] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/com/sparkjava/spark-core/1.1.1/spark-core-1.1.1.jar
2014-10-28 00:19:26,023 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:19:26,024 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-28 00:19:26,025 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:19:26,025 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:19:27,349 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.mongodb:M101J:1.0-SNAPSHOT @ /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/pom.xml.
2014-10-28 00:19:27,409 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:19:27,410 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:19:27,414 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:19:27,414 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:25:19,071 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:25:19,072 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:25:19,074 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:25:19,074 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:25:44,810 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:25:44,812 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:25:44,815 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:25:44,816 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:25:55,728 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:25:55,729 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:25:55,733 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:25:55,737 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:26:16,058 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:26:16,059 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:26:16,060 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:26:16,061 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:26:17,425 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:26:17,426 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:26:17,427 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:26:17,427 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
